DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Ano 1º Sintoma(s)
Ano 1º Sintoma(s): 2019, 2020, 2021, 2022, 2023, 2024
Período:2019-2024
"Município de notificação";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"350010 ADAMANTINA";2080;1055;11;1331;3348;159;7984
"350020 ADOLFO";105;7;89;161;17;148;527
"350030 AGUAI";582;1977;22;8;8;515;3112
"350040 AGUAS DA PRATA";25;26;1;-;10;235;297
"350050 AGUAS DE LINDOIA";29;5;4;22;3;1383;1446
"350055 AGUAS DE SANTA BARBARA";12;1;29;52;8;682;784
"350060 AGUAS DE SAO PEDRO";9;27;10;43;2;275;366
"350070 AGUDOS";1419;27;13;222;2451;748;4880
"350075 ALAMBARI";-;-;110;1;1;111;223
"350080 ALFREDO MARCONDES";26;148;9;231;432;28;874
"350090 ALTAIR";62;1;31;35;8;108;245
"350100 ALTINOPOLIS";20;26;7;11;47;579;690
"350110 ALTO ALEGRE";49;31;203;338;14;13;648
"350115 ALUMINIO";9;5;11;4;11;829;869
"350120 ALVARES FLORENCE";52;68;59;429;28;353;989
"350130 ALVARES MACHADO";196;275;18;478;1443;30;2440
"350140 ALVARO DE CARVALHO";47;14;119;123;116;47;466
"350150 ALVINLANDIA";2;26;8;19;118;390;563
"350160 AMERICANA";5240;1155;622;5635;813;6432;19897
"350170 AMERICO BRASILIENSE";2624;40;25;3131;406;522;6748
"350180 AMERICO DE CAMPOS";336;251;7;452;6;236;1288
"350190 AMPARO";381;94;20;87;626;2668;3876
"350200 ANALANDIA";17;20;6;93;10;826;972
"350210 ANDRADINA";4805;1180;2339;2069;3170;129;13692
"350220 ANGATUBA";7;4;48;8;16;794;877
"350230 ANHEMBI";8;4;16;5;112;196;341
"350240 ANHUMAS";6;4;5;251;163;15;444
"350250 APARECIDA";175;644;12;38;294;909;2072
"350260 APARECIDA D'OESTE";59;22;9;388;29;150;657
"350270 APIAI";7;-;2;5;4;290;308
"350275 ARACARIGUAMA";29;1;-;4;123;526;683
"350280 ARACATUBA";7917;2540;1388;3119;1109;2825;18898
"350290 ARACOIABA DA SERRA";1;11;59;14;17;674;776
"350300 ARAMINA";235;9;-;14;4;18;280
"350310 ARANDU";5;-;-;-;81;592;678
"350315 ARAPEI";1;5;-;-;-;131;137
"350320 ARARAQUARA";23672;257;375;21732;1069;2316;49421
"350330 ARARAS";662;889;214;2927;60;1847;6599
"350335 ARCO-IRIS";37;39;28;98;204;27;433
"350340 AREALVA";205;7;-;42;363;352;969
"350350 AREIAS";6;21;-;4;11;197;239
"350360 AREIOPOLIS";13;1;1;12;26;663;716
"350370 ARIRANHA";46;283;6;59;63;1005;1462
"350380 ARTUR NOGUEIRA";134;106;38;283;51;1235;1847
"350390 ARUJA";857;104;103;155;108;3209;4536
"350395 ASPASIA";19;12;13;223;28;118;413
"350400 ASSIS";2635;1053;685;575;3919;7027;15894
"350410 ATIBAIA";464;201;110;1280;762;14950;17767
"350420 AURIFLAMA";596;170;542;344;17;188;1857
"350430 AVAI";115;5;10;39;11;8;188
"350440 AVANHANDAVA";127;52;19;301;46;137;682
"350450 AVARE";23;16;31;94;343;5605;6112
"350460 BADY BASSITT";918;93;475;624;141;626;2877
"350470 BALBINOS";49;-;2;5;154;29;239
"350480 BALSAMO";285;11;54;279;5;191;825
"350490 BANANAL";23;3;5;2;2;623;658
"350500 BARAO DE ANTONINA";-;10;5;93;299;76;483
"350510 BARBOSA";196;30;226;563;161;78;1254
"350520 BARIRI";174;96;3;9;224;3151;3657
"350530 BARRA BONITA";151;13;16;318;126;771;1395
"350535 BARRA DO CHAPEU";-;-;-;-;-;188;188
"350540 BARRA DO TURVO";-;157;8;10;-;88;263
"350550 BARRETOS";5507;55;75;2096;910;3949;12592
"350560 BARRINHA";956;624;339;447;300;1112;3778
"350570 BARUERI";718;59;87;99;308;6906;8177
"350580 BASTOS";362;747;13;642;1674;61;3499
"350590 BATATAIS";561;33;1;1352;776;5576;8299
"350600 BAURU";26828;853;449;4008;15305;16728;64171
"350610 BEBEDOURO";773;328;7;587;445;6792;8932
"350620 BENTO DE ABREU";21;42;26;64;40;112;305
"350630 BERNARDINO DE CAMPOS";62;12;1;6;39;988;1108
"350635 BERTIOGA";66;60;501;142;1368;2175;4312
"350640 BILAC";766;53;41;153;5;218;1236
"350650 BIRIGUI";7998;644;638;9641;1796;4155;24872
"350660 BIRITIBA MIRIM";132;3;10;58;11;1899;2113
"350670 BOA ESPERANCA DO SUL";397;50;7;823;1646;202;3125
"350680 BOCAINA";121;45;-;218;11;155;550
"350690 BOFETE";1;-;57;3;9;373;443
"350700 BOITUVA";291;76;569;85;144;4722;5887
"350710 BOM JESUS DOS PERDOES";6;2;-;14;1;379;402
"350715 BOM SUCESSO DE ITARARE";-;-;-;1;-;9;10
"350720 BORA";5;18;-;64;24;63;174
"350730 BORACEIA";26;3;1;18;150;440;638
"350740 BORBOREMA";619;137;34;1558;741;451;3540
"350745 BOREBI";74;5;-;156;64;29;328
"350750 BOTUCATU";143;45;83;312;541;16965;18089
"350760 BRAGANCA PAULISTA";77;210;68;260;206;13301;14122
"350770 BRAUNA";80;63;54;287;160;14;658
